,date,ap_daily,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,ap22,ap23,ap24,ap25,ap26,ap27
151,1950-06-01,17.094,18,18,15,27,32,12,9,12,27,7,6,7,6,3,2,6,3,3,18,9,15,9,22,12,39,6,22
152,1950-06-02,18.105,27,7,6,7,6,3,2,6,3,3,18,9,15,9,22,12,39,6,22,32,32,9,6,3,12,15,39
153,1950-06-03,16.094,3,3,18,9,15,9,22,12,39,6,22,32,32,9,6,3,12,15,39,15,12,6,22,27,22,15,12
154,1950-06-04,7.042,39,6,22,32,32,9,6,3,12,15,39,15,12,6,22,27,22,15,12,9,15,7,3,7,9,4,4
155,1950-06-05,8.042,12,15,39,15,12,6,22,27,22,15,12,9,15,7,3,7,9,4,4,12,9,12,7,5,7,6,6
156,1950-06-06,38.146,22,15,12,9,15,7,3,7,9,4,4,12,9,12,7,5,7,6,6,22,56,32,27,56,80,18,12
157,1950-06-07,5.021,9,4,4,12,9,12,7,5,7,6,6,22,56,32,27,56,80,18,12,7,3,3,5,7,6,3,3
158,1950-06-08,8.042,7,6,6,22,56,32,27,56,80,18,12,7,3,3,5,7,6,3,3,3,2,4,5,6,7,7,27
159,1950-06-09,26.126,80,18,12,7,3,3,5,7,6,3,3,3,2,4,5,6,7,7,27,39,56,12,27,27,15,15,18
160,1950-06-10,20.105,6,3,3,3,2,4,5,6,7,7,27,39,56,12,27,27,15,15,18,27,22,18,27,18,12,18,15
161,1950-06-11,7.042,7,7,27,39,56,12,27,27,15,15,18,27,22,18,27,18,12,18,15,15,6,7,5,7,6,4,9
162,1950-06-12,8.042,15,15,18,27,22,18,27,18,12,18,15,15,6,7,5,7,6,4,9,9,5,12,7,7,5,9,6
163,1950-06-13,4.01,12,18,15,15,6,7,5,7,6,4,9,9,5,12,7,7,5,9,6,4,3,5,4,4,2,3,3
164,1950-06-14,5.021,6,4,9,9,5,12,7,7,5,9,6,4,3,5,4,4,2,3,3,4,7,7,5,6,5,4,4
165,1950-06-15,4.01,5,9,6,4,3,5,4,4,2,3,3,4,7,7,5,6,5,4,4,5,4,4,5,4,2,2,3
166,1950-06-16,6.031,2,3,3,4,7,7,5,6,5,4,4,5,4,4,5,4,2,2,3,2,0,0,4,6,12,22,5
167,1950-06-17,14.084,5,4,4,5,4,4,5,4,2,2,3,2,0,0,4,6,12,22,5,9,27,15,9,9,15,15,12
168,1950-06-18,7.042,2,2,3,2,0,0,4,6,12,22,5,9,27,15,9,9,15,15,12,7,9,15,9,4,6,5,4
169,1950-06-19,4.021,12,22,5,9,27,15,9,9,15,15,12,7,9,15,9,4,6,5,4,6,6,3,3,3,5,6,3
170,1950-06-20,5.021,15,15,12,7,9,15,9,4,6,5,4,6,6,3,3,3,5,6,3,2,4,3,4,6,7,6,5
171,1950-06-21,8.042,6,5,4,6,6,3,3,3,5,6,3,2,4,3,4,6,7,6,5,3,6,2,4,4,18,9,18
172,1950-06-22,11.063,5,6,3,2,4,3,4,6,7,6,5,3,6,2,4,4,18,9,18,6,15,7,15,22,9,7,9
173,1950-06-23,23.115,7,6,5,3,6,2,4,4,18,9,18,6,15,7,15,22,9,7,9,18,12,6,9,7,7,67,56
